country1_code,latitude_1,longitude_1,country2_code,latitude_2,longitude_2,incident_year,incidents_in_year,prediction,prediction_error
CHN,35.0000,105.0000,GBR,54.0000,-2.0000,2020,9,6.765830200594168,2.234169799405832
CHN,35.0000,105.0000,BEL,50.8333,4.0000,2019,3,4.107429963728535,1.107429963728535
RUS,60.0000,100.0000,AUS,-27.0000,133.0000,2020,19,20.76888336407981,1.7688833640798087
CHN,35.0000,105.0000,ITA,42.8333,12.8333,2020,8,7.782069401991485,0.21793059800851466
CHN,35.0000,105.0000,JPN,36.0000,138.0000,2020,15,18.8479164676482,3.8479164676482007
CHN,35.0000,105.0000,MMR,22.0000,98.0000,2020,3,2.0026256815704766,0.9973743184295234
CHN,35.0000,105.0000,USA,38.0000,-97.0000,2020,13,14.10872275094993,1.10872275094993
IRN,32.0000,53.0000,TUR,39.0000,35.0000,2018,9,4.2781256065882864,4.7218743934117136
IRN,32.0000,53.0000,ISR,31.5000,34.7500,2019,3,7.294425646951519,4.294425646951519
RUS,60.0000,100.0000,JOR,31.0000,36.0000,2019,2,2.8222441772277715,0.8222441772277715
CHN,35.0000,105.0000,AUS,-27.0000,133.0000,2020,13,8.690948276965324,4.309051723034676
RUS,60.0000,100.0000,JOR,31.0000,36.0000,2018,2,4.118874812721403,2.118874812721403
RUS,60.0000,100.0000,AUT,47.3333,13.3333,2018,2,3.222149153137612,1.2221491531376119
ARG,-34.0000,-64.0000,SGP,1.3667,103.8000,2018,1,0.9369600850315614,0.06303991496843864
KOR,37.0000,127.5000,USA,38.0000,-97.0000,2016,3,1.259016192969594,1.740983807030406
RUS,60.0000,100.0000,JPN,36.0000,138.0000,2020,25,25.01082280006755,0.010822800067550986
CHN,35.0000,105.0000,FRA,46.0000,2.0000,2017,8,6.030383176867886,1.9696168231321138
PRK,37.0000,127.5000,JPN,36.0000,138.0000,2017,3,5.4643550104240735,2.4643550104240735
CHN,35.0000,105.0000,FRA,46.0000,2.0000,2017,8,6.030383176867886,1.9696168231321138
RUS,60.0000,100.0000,BEL,50.8333,4.0000,2018,3,0.48028854326478765,2.5197114567352124
SAU,25.0000,45.0000,USA,38.0000,-97.0000,2020,3,4.2903936832856395,1.2903936832856395
KOR,37.0000,127.5000,CHN,35.0000,105.0000,2016,2,4.013132067427391,2.0131320674273914
RUS,60.0000,100.0000,MLI,17.0000,-4.0000,2019,8,10.384867014120477,2.384867014120477
USA,38.0000,-97.0000,UKR,49.0000,32.0000,2019,1,1.960931743349219,0.960931743349219
CHN,35.0000,105.0000,MNG,46.0000,105.0000,2018,5,4.110778497094097,0.8892215029059027
RUS,60.0000,100.0000,BGR,43.0000,25.0000,2018,3,1.9729206607345349,1.0270793392654651
IRN,32.0000,53.0000,BEL,50.8333,4.0000,2017,1,1.4259688688150503,0.42596886881505025
USA,38.0000,-97.0000,AUS,-27.0000,133.0000,2018,1,2.2193612201163653,1.2193612201163653
VNM,16.0000,106.0000,CHN,35.0000,105.0000,2020,3,5.149237891820256,2.149237891820256
VNM,16.0000,106.0000,JPN,36.0000,138.0000,2020,4,2.718406948346209,1.281593051653791
PAK,30.0000,70.0000,BGD,24.0000,90.0000,2018,2,1.6320887115495841,0.3679112884504159
KHM,13.0000,105.0000,IND,20.0000,77.0000,2017,1,2.6674118280211534,1.6674118280211534
RUS,60.0000,100.0000,JPN,36.0000,138.0000,2020,25,25.01082280006755,0.010822800067550986
RUS,60.0000,100.0000,MLI,17.0000,-4.0000,2020,11,13.652691875874275,2.6526918758742752
CHN,35.0000,105.0000,AUS,-27.0000,133.0000,2020,13,8.690948276965324,4.309051723034676
